,5,10,15,20
1999-12-31,2.07249999046326,2.41529989242554,2.55460000038147,2.50850009918213
2000-12-31,1.34689998626709,1.63479995727539,1.84879994392395,1.93250000476837
2001-12-31,1.22800004482269,1.92900002002716,2.33419990539551,2.47079992294312
2002-12-31,1.14139997959137,1.84210002422333,2.38170003890991,2.58829998970032
2003-12-31,2.00859999656677,2.46239995956421,2.8092999458313,3.04760003089905
2004-12-31,2.59130001068115,2.71029996871948,2.89450001716614,3.04029989242554
2005-12-31,2.26979994773865,2.36509990692139,2.53159999847412,2.62479996681213
2006-12-31,2.18440008163452,2.32570004463196,2.46880006790161,2.53900003433228
2007-12-31,2.19580006599426,2.45779991149902,2.5353000164032,2.58150005340576
2008-12-31,-1.25199997425079,0.412200003862381,0.912899971008301,0.840200006961823
2009-12-31,1.92809998989105,2.57829999923706,2.75729990005493,2.67050004005432
2010-12-31,1.85749995708466,2.42890000343323,2.58960008621216,2.63439989089966
2011-12-31,1.65960001945496,2.01419997215271,2.15520000457764,2.20099997520447
2012-12-31,2.19919991493225,2.47819995880127,2.63019990921021,2.69140005111694
2013-12-31,1.95210003852844,2.35150003433228,2.37159991264343,2.38619995117188
2014-12-31,1.39189994335175,1.66910004615784,1.75720000267029,1.84319996833801
2015-12-31,1.35080003738403,1.52149999141693,1.53890001773834,1.60979998111725
2016-12-31,1.92369997501373,1.90530002117157,1.88740003108978,1.97200000286102
2017-12-31,1.93180000782013,1.94000005722046,1.92490005493164,1.95439994335175
2018-12-31,1.55480003356934,1.65840005874634,1.69719994068146,1.74539995193481
2019-12-31,1.64419996738434,1.72409999370575,1.75329995155334,1.79410004615784
2020-12-31,1.96189999580383,1.95710003376007,1.95469999313354,1.96560001373291
2021-12-31,2.83509993553162,2.62019991874695,2.49990010261536,2.37849998474121
