,5,10,15,20,30
1985-12-31,4.210549948508721,4.140995799221753,4.049560448848721,,
1986-12-31,3.712061688799855,4.061830917986261,4.067853713926271,3.9490456211319644,
1987-12-31,2.95444583263217,3.7551881961952476,4.059573254679312,4.159548909052667,
1988-12-31,3.662667043408851,3.806710920734848,3.9056004180653443,4.12246684013393,
1989-12-31,3.3439669442842956,3.53445223431222,3.7164711929252534,,
1990-12-31,3.7206428425036124,4.090180968561455,4.313065403538571,,
1991-12-31,4.1593689759555765,4.424067773121502,4.490811748772373,,
1992-12-31,3.145557791182477,3.618297701734644,3.770726241320198,3.846738691714674,
1993-12-31,2.257133389848604,2.659431535537056,2.853876826455945,2.9684009033465397,
1994-12-31,3.76942469546249,3.829628044712097,3.8576508328570496,3.870537772652008,
1995-12-31,3.2975882569976056,3.437722837989657,3.499831828361749,3.554803079265696,
1996-12-31,3.2847197454710413,3.415136256572006,3.526629501368723,3.6236432167468102,
1997-12-31,3.2065350344588963,3.0879634755608665,3.049940922990516,3.0464297672060927,
1998-12-31,2.161447454507869,2.0059933423007417,2.047100293577776,2.0602945388089124,
1999-12-31,2.292550395597014,1.952389821048381,1.9747282349760187,1.8717718549939881,
2000-12-31,2.6106107341142013,2.2389540817075004,2.060568150063607,1.8906048151094896,
2001-12-31,2.6317658857544375,2.5601726834066616,2.4100326277629915,2.27106405840084,
2002-12-31,2.0499675381255598,2.168784278601235,2.167217526625787,2.145668725820424,
2003-12-31,1.6374529590409785,1.9394455892495235,2.007750199212476,2.000757217272529,
2004-12-31,1.741630498695691,1.7389031658126215,1.6757007621187152,1.5912427720588889,
2005-12-31,1.5072776544272588,1.3452649920614965,1.2129132733704777,1.1061161298425306,
2006-12-31,2.0518589503107334,1.6562420474798916,1.3698490612158705,1.163393839319345,
2007-12-31,1.7352943798655556,1.380080842547692,1.1357402666414025,0.9574283261515445,
2008-12-31,2.228960374888606,1.6249924826796236,1.3042750090217818,0.9661005995873634,
2009-12-31,0.3018821309886271,0.8910312073903173,0.9659105858686622,0.8468747157959438,
2010-12-31,-0.20572369309308752,0.4934268699536773,0.6475878338603968,0.6438222745865938,
2011-12-31,-1.2464245243031267,-0.5942094754109465,-0.28515967838490014,-0.17036413836779482,
2012-12-31,-1.4646706387135349,-0.7293349179466937,-0.27635515398629695,-0.033695671382437106,
2013-12-31,-0.9942992169480418,-0.1089850046714537,0.11252697528122849,0.12834267534138016,
2014-12-31,-1.387271795832603,-0.9867284318592038,-0.8492952970970522,-0.7892031795009509,
2015-12-31,-0.9356946958061869,-0.6703799164482352,-0.6427180320357173,-0.6607675232215497,
2016-12-31,-2.542560428952112,-1.9955956923206706,-1.7710025098444444,-1.6707849544999795,-1.5920976034710097
2017-12-31,-2.115859353676857,-1.871392923018344,-1.7719379863937603,-1.7136657849495034,-1.628484570843418
2018-12-31,-2.1931001188638057,-1.9890134307710543,-1.8414621837601273,-1.707486181540946,-1.5137907989272554
2019-12-31,-2.4620161848358935,-2.392761985128306,-2.2056970201498136,-2.0158104016772196,-1.778484858363043
2020-12-31,-3.0778282286691887,-2.981788422949122,-2.7882038733234054,-2.5805811244724497,-2.2861440605128345
2021-12-31,-3.2577285089784938,-2.8870726864867002,-2.6673866270292113,-2.4909693034617884,-2.247584198569021
