,0
1988-12-31,1.0
1989-12-31,1.0776426566884938
1990-12-31,1.1796071094480822
1991-12-31,1.2488306828811973
1992-12-31,1.295603367633302
1993-12-31,1.316183348924228
1994-12-31,1.3479887745556594
1995-12-31,1.3947614593077642
1996-12-31,1.4284377923292795
1997-12-31,1.4733395696913003
1998-12-31,1.5238540692235734
1999-12-31,1.5472404115996259
2000-12-31,1.5930776426566886
2001-12-31,1.6211412535079515
2002-12-31,1.648269410664172
2003-12-31,1.695977549111319
2004-12-31,1.746492048643592
2005-12-31,1.7960710944808231
2006-12-31,1.853133769878391
2007-12-31,1.932647333956969
2008-12-31,2.009354536950421
2009-12-31,1.9990645463049577
2010-12-31,2.091674462114125
2011-12-31,2.200187090739008
2012-12-31,2.2703461178671653
2013-12-31,2.3395696913002806
2014-12-31,2.394761459307764
2015-12-31,2.4181478016838165
2016-12-31,2.461178671655753
2017-12-31,2.5491113189897097
2018-12-31,2.634237605238541
2019-12-31,2.7015902712815714
2020-12-31,2.7418147801683816
2021-12-31,2.853133769878391
