,5,10,15,20,30
1985-12-31,6.627689333112597,6.4718242828560895,6.067127117683098,,
1986-12-31,6.747723966442438,6.276091356982881,5.865718005631067,5.382317567715957,
1987-12-31,6.181031930111078,5.906202633155129,5.294067571223386,4.71637816557547,
1988-12-31,6.578843219537861,5.978672121574859,5.11961609367828,4.234278416371611,
1989-12-31,7.224112546598562,6.398751517505972,5.570270311008652,,
1990-12-31,7.125164225183474,6.514669774608647,5.779006457541172,,
1991-12-31,5.658828570112522,5.019548703021847,4.663481194916587,,
1992-12-31,4.391991878624904,4.706532786993328,4.95779576072767,5.102973176812845,
1993-12-31,3.5221159083673563,3.5898630798656495,3.5805673089041665,3.5164986279518686,
1994-12-31,4.872103636721601,4.759516302946958,4.522004318229995,4.333176275289694,
1995-12-31,3.543939564546977,4.029513126617778,4.216483095926851,4.3184442273480155,
1996-12-31,3.9205686536072344,4.057711469531388,4.069247759305744,3.9733314677108105,
1997-12-31,3.193970883318728,3.088668417851939,3.094125168412923,3.0769841771532724,
1998-12-31,2.2104517102450063,2.3144036358276017,2.3511178695323762,2.319687643590599,
1999-12-31,3.7450387759104506,3.423232530189258,2.7719396899486606,2.4929652360850643,
2000-12-31,2.4724304248035422,2.5419923966376605,2.4468472922057902,2.400435932044906,
2001-12-31,2.4470390855413777,2.4724663355096475,2.5109461361693453,2.510959646921908,
2002-12-31,2.1083459043480772,2.2279644867962,2.3007162590707417,2.3150648438420367,
2003-12-31,2.974593461086805,2.8338790047418265,2.7706331574897187,2.7026635711191904,
2004-12-31,2.68702714765102,2.748257587906401,2.8029403234106938,2.818434783344574,
2005-12-31,2.6000107450610375,2.7023508488431736,2.803220606446291,2.856836950029107,
2006-12-31,2.859881001252276,2.969895826390661,3.067809172354601,3.094945545072516,
2007-12-31,2.658181322649938,3.137558872528268,3.341791330105572,3.4259144806693507,
2008-12-31,0.4663675321868661,1.7641743097675064,2.549621140509795,3.0957396195518307,
2009-12-31,2.680209074916082,3.3119320893972253,3.606756751228237,3.747013769228393,
2010-12-31,2.5197253048975172,3.1239993796647316,3.5055922156863493,3.6875714900464427,
2011-12-31,2.247413555548353,2.6991892450940274,2.9884924683743197,3.2158042878266277,
2012-12-31,2.359017280863359,2.616956581238952,2.836176490606049,3.0633046656956116,
2013-12-31,2.9906388187993254,3.266073204065471,3.4879143351481092,3.6031822453113285,
2014-12-31,2.585961911385842,2.8063607164919273,3.0633171760647366,3.2700410244584965,
2015-12-31,2.3109026664540617,2.6800629143303976,3.0712949247513084,3.370016084479931,
2016-12-31,3.092069349540229,3.291142984318016,3.4975347074599212,3.6015351091644354,3.4880742113494336
2017-12-31,2.86026802714556,3.1293917891154415,3.400501073911842,3.5418092087564306,3.434015266177272
2018-12-31,3.0999588655900903,3.294251607265386,3.507321370188963,3.5758093065985896,3.381495168010828
2019-12-31,3.040952280249251,3.2141653576985423,3.3486006447147223,3.3579434348132953,3.127270942849036
2020-12-31,3.0136422550724915,3.212565208185945,3.321284258520946,3.304731891461424,3.062994328383013
2021-12-31,4.019806564099225,3.8656132812527666,3.8186819482852687,3.7061572754755985,3.372600277615974
